"EmployeeID","CurrentRole","Python","Machine Learning","Java","SQL","JavaScript","Project Management","Communication","UI/UX Design"
"1","Product Manager","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"2","Software Engineer","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"3","Software Engineer","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE"
"4","Product Manager","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"5","Software Engineer","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE"
"6","Software Engineer","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE"
"7","Software Engineer","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE"
"8","Product Manager","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE"
"9","Data Scientist","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"10","Software Engineer","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"11","Product Manager","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE"
"12","Product Manager","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE"
"13","UX Designer","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"14","Sales Representative","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE"
"15","Sales Representative","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE"
"16","Software Engineer","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"17","Software Engineer","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE"
"18","UX Designer","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE"
"19","Product Manager","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"20","Product Manager","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"21","UX Designer","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE"
"22","Product Manager","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE"
"23","UX Designer","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE"
"24","UX Designer","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE"
"25","Sales Representative","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE"
"26","Product Manager","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE"
"27","Data Scientist","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE"
"28","UX Designer","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"29","UX Designer","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"30","Product Manager","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE"
"31","Product Manager","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE"
"32","Sales Representative","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"33","UX Designer","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"34","UX Designer","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE"
"35","Product Manager","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"36","Sales Representative","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE"
"37","Data Scientist","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE"
"38","UX Designer","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE"
"39","Software Engineer","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"40","Data Scientist","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE"
"41","Software Engineer","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE"
"42","Software Engineer","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"43","Software Engineer","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"44","UX Designer","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE"
"45","Sales Representative","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE"
"46","Data Scientist","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"47","Software Engineer","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
